Step	Time_elapsed
1	0.0
2	1582659259.3409667
3	2417.152304649353
4	1998.7070634365082
5	1474.380169391632
6	2099.751582622528
7	1345.6292464733124
8	2224.1637799739838
9	11087.367327690125
10	11087.367327690125
11	5689.708260297775
12	17111.076048135757
13	23508.94558286667
14	23508.94558286667
15	22330.65307855606
16	22330.65307855606
17	22330.65307855606
18	22330.65307855606
19	37713.12767982483
20	3139.360778570175
21	3158.242111682892
22	5801.079641342163
23	5801.079641342163
24	7860.777043104172
25	2657.754419326782
26	2657.754419326782
27	2657.754419326782
28	5480.182676553726
29	2455.339388370514
30	2800.060299396515
31	2870.232212781906
32	3134.4714770317078
33	2390.467602491379
34	1761.5889086723328
35	1761.5889086723328
36	2828.5705897808075
37	1485.0875391960144
38	3315.629811525345
39	3220.1611528396606
38	1582863646.5895846
39	2563.5677678585052
40	2999.383444547653
41	3134.2323265075684
42	1951.9312362670898
43	2141.1395723819733
44	4111.072132349014
45	4111.072132349014
46	6487.893888711929
47	2571.618877887726
48	1541.10995554924
49	2717.4414093494415
50	1516.090499162674
51	1998.8759999275208
52	1641.8549375534058
53	1572.189801454544
54	2119.510986804962
55	1824.7595782279968
56	2231.699902534485
57	1769.131692647934
58	1683.6385159492493
59	2329.100823402405
60	2076.919425725937
61	2242.5820441246033
62	1767.434681892395
63	5627.898229122162
64	2622.8603286743164
65	1874.4955315589905
66	1996.8710074424744
67	7327.779276609421
68	2003.32457613945
69	1950.641081571579
70	4819.7083132267
71	2374.8646585941315
72	2206.6067831516266
73	3003.02109003067
74	3891.3418078422546
75	3891.3418078422546
76	4246.914680480957
77	2119.5149841308594
78	3659.6174492836
79	1991.9971969127655
80	1111.4543340206146
81	944.0286273956299
82	1880.7807221412659
83	833.3245449066162
84	900.9554030895233
85	1603.7582988739014
86	1537.820060491562
87	1429.5614478588104
88	986.6618242263794
89	1723.5425689220428
90	2277.715995788574
91	1393.480987071991
92	6506.662197351456
93	34721.33560681343
94	1455.2661519050598
95	1893.1247117519379
96	1184.0074770450592
97	43181.07555627823
98	1583398241.5369484
99	12540.640262842178
100	2304.8757309913635
101	13610.860924243927
102	2400.411994457245
103	4588.462682247162
104	1469.3562893867493
105	1350.255032300949
106	1219.9016506671906
107	1142.9713249206543
108	1758.2607395648956
109	1486.729926109314
110	1966.16752243042
111	1301.1315231323242
112	2470.130557537079
113	2263.961618900299
114	1175.797848701477
115	2590.4310898780823
116	2310.6975359916687
117	1761.4116444587708
118	2512.5274670124054
119	2512.5274670124054
120	6390.024326086044
121	3634.6315846443176
122	1323.048164844513
123	2297.157699584961
124	1840.5355789661407
125	2042.787724494934
126	2042.4848790168762
127	2042.4848790168762
128	5983.819150686264
129	2994.084244251251
130	4420.699314832687
131	2893.2483899593353
132	2743.642904281616
133	2172.760491132736
134	2172.760491132736
135	2479.3666813373566
136	1869.3150043487549
137	1205.8746166229248
138	3289.431496143341
139	3340.358716249466
140	3063.7328867912292
141	2504.927884578705
142	3227.401130437851
143	1949.2206168174744
144	2818.394637107849
145	2151.012054681778
146	1898.6533596515656
147	1916.7363893985748
148	2532.226071834564
149	2078.3937401771545
150	2567.589678287506
151	2367.987983942032
152	3265.7815911769867
153	2565.3243641853333
154	3272.9939756393433
155	1869.9958341121674
156	2591.6218338012695
157	2750.817216873169
158	7015.637955188751
159	2980.575299978256
160	2469.4983835220337
161	3224.801142692566
162	3285.2737953662872
163	2075.699038743973
164	2980.8903410434723
165	1902.112920999527
166	3299.603772163391
167	3486.9766471385956
168	2879.7739050388336
169	16283.3624522686
170	21491.917095184326
171	3719.0760991573334
172	3330.4506890773773
173	8603.64095211029
174	8603.64095211029
175	13082.775665521622
176	11546.733696937561
177	14671.300885438919
178	14671.300885438919
179	14671.300885438919
180	27727.360320806503
181	10469.047786474228
182	0.0
183	0.0
184	1584622980.544033
185	1584622980.544033
186	1584622980.544033
187	1584622980.544033
188	1584622980.544033
189	24165.008707761765
190	14007.72887134552
191	11914.541241645813
192	11549.381143331528
193	2847.5881204605103
194	2847.5881204605103
195	2847.5881204605103
196	2847.5881204605103
197	2847.5881204605103
198	2847.5881204605103
199	16378.773412942886
200	119321.83024477959
201	20436.49679493904
202	20466.78836965561
203	18454.73937678337
204	18454.73937678337
205	3974.629647731781
206	3385.6781582832336
207	2718.5970079898834
208	14259.014413118362
209	3681.836801290512
210	12120.019155025482
211	3886.3552780151367
212	4557.553244590759
213	2178.429318666458
214	3141.867924451828
215	2074.9438800811768
216	3159.9648535251617
