Iteration_step	age	teff_primary	feh	Pdisk	logQ	
2	1.6835201199819239	5549.921202295265	-0.03697743788425576	4.570685778068612	6.850758421971131	5.2663825154489
3	0.28845407393755895	5602.749041660779	-0.1497578483616121	4.409879236350207	6.832869238869542	5.266382524325553
4	1.419011361654954	5356.329895280283	-0.10441606407598783	4.41893094847941	7.012805328726897	5.266381586089245
5	2.355933686519153	5503.115475742389	0.032735054759427784	4.566871850020159	7.11989344890694	5.266382886675015
7	2.3786918665362373	5504.73867170858	-0.0704921717671606	4.562690840244878	6.9421663900366415	5.266382697497913
8	2.6802167828168435	5618.540169484841	-0.040433155891438505	4.591957044189257	7.066569707417878	5.266383669605925
9	3.9997022252678747	5613.634685594691	-0.06103062687123215	4.566717373097142	6.7976977484569305	5.266382502486728
10	6.304512654092505	5485.966478080968	-0.013002617409691088	4.571015852133947	6.680532884194718	5.266382546276786
12	5.303113865510959	5539.160600513304	0.08442010775375516	4.495587095434787	6.665616907265443	5.266382500529505
13	6.512252113200805	5517.3279097385	0.1181009769774503	4.541846539023839	6.832833728241988	5.266382524684535
14	2.9654346089738786	5494.821467651319	0.08582347541476601	4.484747115072739	6.726475168852724	5.266382267298555
15	5.62108377007467	5435.258846940976	-0.02550452337128846	4.445705302156432	6.963819267590735	5.266382557960447
19	3.4883332073387012	5405.28757190493	-0.12799409337536605	4.3174308619974315	7.15776188979088	5.266382503378009
20	4.869234896572127	5425.365986137922	-0.022159722199384613	4.224485157666786	7.473256590990535	5.266382560855833
