Iteration_step	Porb	eccentricity	Wdisk	logQ	primary_mass	age	feh	secondary_mass	posterior_probability	acceptance_ratio	inital_orbital_period	initial_eccentricity	current_orbital_period	current_eccentricity	current_spin	delta_e	delta_p	bad_solution_flag	gsl_flag	
2	7.841011373894225	0.26533148202089024	4.040938561651793	7.077199306550713	0.8219787802170108	2.9238081706381793	-0.7396679406462225	0.8009361234434553	26.66941323578231	0.11149517052664906	8.13867259233249	0.2961470422583915	7.841012798454566	0.26533182129052707	7.708378316344802	1.4245603408014063e-06	3.392696368287318e-07	False	False
3	7.841036762996194	0.26732800253693806	4.101079347176598	7.966653291742855	0.8578546796633485	2.5658230014775762	-0.6740005885081488	0.8358935998639668	0.7990147931441053	0.003340391849918554	7.911786163440391	0.2709866599538009	7.841493200857649	0.26735064729291336	7.924096476351165	0.00045643786145443954	2.264475597529847e-05	False	False
4	7.8409860024222695	0.26564624074859766	4.227303402001252	6.735070340932861	0.8626463067016543	2.1878657376524764	-0.6542320345774857	0.840562561250092	nan	0.003340391849918554	7.871264715536332	0.26975959265414823	7.58617825970217	0.21899151358473878	nan	-0.2548077427200992	-0.04665472716385888	True	False
5	7.840952176646172	0.26684201361175314	4.582990371103947	7.475264728176878	0.8784004132408016	1.4181057041310972	-0.581807987395156	0.8559133626618372	0.0	0.0	7.882344147650918	0.2725050629997889	7.840952176197055	0.2668420135977108	7.840952176197057	-4.49117187883985e-10	-1.4042322860063905e-11	False	False
6	7.840992025434874	0.26542466691876027	4.076155765952401	6.491716687075485	0.8721750906568938	1.9142576470046047	-0.5865254876847538	0.8498474083360774	nan	0.0	nan	nan	7.840992025434874	0.26542466691876027	nan	nan	nan	False	True
7	7.841000209410163	0.2651972259377329	4.072540431376429	6.66475431650272	0.8933553728025083	2.062999200807148	-0.4097123833026889	0.8704854752587642	10.501292407816432	0.043902105284745425	8.130475176730258	0.2667155463599828	7.847653411884826	0.2130859530687858	7.847653411884825	0.006653202474662834	-0.05211127286894712	False	False
8	7.840983257976812	0.2652879274673071	3.558574673606401	7.344149693254059	0.8249408418429954	3.9117306369060763	-0.7566067863926228	0.8038223562918148	12.367738610105494	0.05170504177094559	8.104628365165484	0.2895094743315645	7.84098325799617	0.26528792746804014	7.840983257996169	1.935784865736423e-11	7.330247520087596e-13	False	False
9	7.841004703967771	0.2650831040506415	4.7803198114596634	6.783049792771396	0.7933862162350196	4.2511601720634	-0.881318087462643	0.7730755290994031	0.0	0.0	8.941958907110651	0.35706037105827804	7.898909037273349	0.2759182524552497	5.75323387768469	0.05790433330557754	0.010835148404608197	False	False
10	7.841006891216148	0.26577043891355684	4.138941908344694	6.878830060516136	0.8915769187930286	2.273439883317489	-0.39329388977259727	0.868752549671927	20.718094812930865	0.08661486076700518	8.017210238883994	0.265735550265241	7.780556704704214	0.2256010536909119	7.780556704704214	-0.060450186511934234	-0.04016938522264493	False	False
11	7.841019767473737	0.26478962821421415	4.156793738180255	7.555893068884375	0.8511768517095939	3.6998016287046003	-0.4612277733454989	0.8293867243058284	6.074648207747789	0.025395906982442287	8.031726384926095	0.28016019326369235	7.8410197672445925	0.2647896281978958	7.841019767244595	-2.291447032121141e-10	-1.6318335571696707e-11	False	False
12	7.841013827639164	0.2668753496531142	4.179901543952038	7.483176106338743	0.8788871318855942	2.7380920501818604	-0.5390234259377147	0.856387621309323	8.435910373820604	0.035267490040414684	7.985795056647745	0.28129541734577723	7.841013827073609	0.2668753496202245	7.841013827073608	-5.655547141714123e-10	-3.288969097070549e-11	False	False
13	7.841037404964052	0.2653109163085191	4.7315077681662485	7.162419670475689	0.7861552935992634	3.721361319344613	-0.5530189994085387	0.7660297180831223	nan	0.035267490040414684	nan	nan	7.841037404964052	0.2653109163085191	nan	nan	nan	False	True
14	7.840961642672591	0.26346464904787864	4.334832259297562	6.76875623993968	0.8119688944299776	2.9885549854117808	-0.607554115371501	0.7911824907325702	0.5395846488471835	0.0022558082513814267	8.4953789619065	0.32418923884547746	7.84102772644234	0.2634735054675889	6.32910548017695	6.60837697488148e-05	8.85641971026807e-06	False	False
15	7.8410071886538795	0.26689351330725625	4.105891265037238	6.584090778496849	0.8301439160258817	3.6775682207968825	-0.7391663584570228	0.8088922317756191	nan	0.0022558082513814267	9.549031936556036	0.41535938922071175	7.993902257407143	0.2906127268047104	nan	0.15289506875326353	0.02371921349745415	True	False
16	7.841049102601892	0.26605852734049995	4.254532413784408	7.953594223834905	0.9512260266029368	2.8129388435418923	-0.4343344797472948	0.9268746403219016	0.9700852071034048	0.004055575375248824	7.93104394116793	0.2728567927984371	7.841049102562452	0.266058527341518	7.841049102562454	-3.944045090520376e-11	1.0180745135812685e-12	False	False
17	7.840990196807298	0.2652921378800389	4.289036836779673	7.190157850760114	0.8585642747646156	3.030652398230108	-0.5181873075348998	0.8365850293306415	nan	0.004055575375248824	nan	nan	7.840990196807298	0.2652921378800389	nan	nan	nan	False	True
18	7.840980950891671	0.26524560964752014	3.8255066983953254	6.72274596379878	0.8702048500615275	3.320332508370856	-0.543781929106058	0.8479276058999524	nan	0.004055575375248824	nan	nan	7.840980950891671	0.26524560964752014	nan	nan	nan	False	True
19	7.840997132723337	0.26765091411460623	4.66797113557977	8.248425176589564	0.9026767329813753	2.0733316339938144	-0.33244363009541006	0.8795682086170521	0.0	0.0	7.873404872873579	0.26938223391759514	7.840997131659033	0.2676509140708595	9.156510280474988	-1.06430420032666e-09	-4.374672846196859e-11	False	False
